EpsgNumber|CrsName|AreaName
2118|NZGD2000 / Grey 2000|New Zealand - South Island - Grey mc
2119|NZGD2000 / Amuri 2000|New Zealand - South Island - Amuri mc
2120|NZGD2000 / Marlborough 2000|New Zealand - South Island - Marlborough mc
2121|NZGD2000 / Hokitika 2000|New Zealand - South Island - Hokitika mc
2122|NZGD2000 / Okarito 2000|New Zealand - South Island - Okarito mc
2123|NZGD2000 / Jacksons Bay 2000|New Zealand - South Island - Jacksons Bay mc
2124|NZGD2000 / Mount Pleasant 2000|New Zealand - South Island - Mount Pleasant mc
2125|NZGD2000 / Gawler 2000|New Zealand - South Island - Gawler mc
2126|NZGD2000 / Timaru 2000|New Zealand - South Island - Timaru mc
2127|NZGD2000 / Lindis Peak 2000|New Zealand - South Island - Lindis Peak mc
2128|NZGD2000 / Mount Nicholas 2000|New Zealand - South Island - Mount Nicholas mc
2129|NZGD2000 / Mount York 2000|New Zealand - South Island - Mount York mc
2130|NZGD2000 / Observation Point 2000|New Zealand - South Island - Observation Point mc
2131|NZGD2000 / North Taieri 2000|New Zealand - South Island - North Taieri mc
2132|NZGD2000 / Bluff 2000|New Zealand - South and Stewart Islands - Bluff mc
2133|NZGD2000 / UTM zone 58S|New Zealand - offshore 162°E to168°E
2134|NZGD2000 / UTM zone 59S|New Zealand - offshore 168°E to 174°E
2135|NZGD2000 / UTM zone 60S|New Zealand - offshore 174°E to 180°E
2136|Accra / Ghana National Grid|Ghana - onshore
2137|Accra / TM 1 NW|Ghana - offshore
2138|NAD27(CGQ77) / Quebec Lambert|Canada - Quebec
2139|NAD83(CSRS98) / SCoPQ zone 2|Canada - Quebec - east of 57°W
2140|NAD83(CSRS98) / MTM zone 3|Canada - Quebec - 60°W to 57°W
2141|NAD83(CSRS98) / MTM zone 4|Canada - Quebec - 63°W to 60°W
2142|NAD83(CSRS98) / MTM zone 5|Canada - Quebec - 66°W to 63°W
2143|NAD83(CSRS98) / MTM zone 6|Canada - Quebec - 69°W to 66°W
2144|NAD83(CSRS98) / MTM zone 7|Canada - Quebec - 72°W to 69°W
2145|NAD83(CSRS98) / MTM zone 8|Canada - Quebec - 75°W to 72°W
2146|NAD83(CSRS98) / MTM zone 9|Canada - Quebec - 78°W to 75°W
2147|NAD83(CSRS98) / MTM zone 10|Canada - Quebec - west of 78°W
2148|NAD83(CSRS98) / UTM zone 21N|Canada - Quebec - east of 60°W
2149|NAD83(CSRS98) / UTM zone 18N|Canada - Quebec - 78°W to 72°W
2150|NAD83(CSRS98) / UTM zone 17N|Canada - Quebec - west of 78°W
2151|NAD83(CSRS98) / UTM zone 13N|Canada - 108°W to 102°W, south of 60°N
