EpsgNumber|CrsName|AreaName
5802|Barcelona Grid B2|Venezuela - Puerto La Cruz
5803|Maturin Grid|Venezuela - Maturin
5804|EPSG seismic bin grid example A|Not specified
5805|EPSG seismic bin grid example B|Not specified
5806|EPSG local engineering grid example A|To be specified
5807|EPSG local engineering grid example B|To be specified
5808|Maracaibo Cross Grid M4|Venezuela - Maracaibo area
5809|Maracaibo Cross Grid M5|Venezuela - Maracaibo area
5810|La Rosa Grid|Venezuela - Cabimas
5811|Mene Grande|Venezuela - Maracaibo south
5812|El Cubo|Venezuela - Pedregal area of Falcon state
5813|Dabajuro|Venezuela - Falcon state
5814|Tucupita|Venezuela - Deltana
5815|Santa Maria de Ipire|Venezuela - Guarico state
5816|Barinas west base|Venezuela - Barinas
5817|Tombak LNG plant|Iran - Kangan district
5818|[enter here name of (I = J+90°) bin grid]|[enter here applicable extent]
5819|EPSG topocentric example A|To be specified
5820|EPSG topocentric example B|To be specified
5821|EPSG vertical perspective example|To be specified
5825|AGD66 / ACT Standard Grid|Australia - Australian Capital Territory
5828|DB_REF|Germany - onshore
5829|Instantaneous Water Level height|World
5830|DB_REF|Germany - onshore
5831|Instantaneous Water Level depth|World
5832|DB_REF / 3-degree Gauss-Kruger zone 2 (E-N) + DHHN92 height|Germany - West Germany - west of 7.5°E
5833|DB_REF / 3-degree Gauss-Kruger zone 3 (E-N) + DHHN92 height|Germany - onshore 7.5°E to 10.5°E
5834|DB_REF / 3-degree Gauss-Kruger zone 4 (E-N) + DHHN92 height|Germany - onshore 10.5°E to 13.5°E
5835|DB_REF / 3-degree Gauss-Kruger zone 5 (E-N) + DHHN92 height|Germany - onshore east of 13.5°E
5836|Yemen NGN96 / UTM zone 37N|Yemen - west of 42°E
5837|Yemen NGN96 / UTM zone 40N|Yemen - east of 54°E
5839|Peru96 / UTM zone 17S|Peru - 84°W to 78°W
5842|WGS 84 / TM 12 SE|Angola - offshore north of 8°S
5843|Ras Ghumays height|UAE - Abu Dhabi - onshore
5844|RGRDC 2005 / Congo TM zone 30|Congo DR (Zaire) - south and 29°E to 31°E
5845|SWEREF99 TM + RH2000 height|Sweden - onshore
5846|SWEREF99 12 00 + RH2000 height|Sweden - 12 00
5847|SWEREF99 13 30 + RH2000 height|Sweden - 13 30
5848|SWEREF99 15 00 + RH2000 height|Sweden - 15 00
5849|SWEREF99 16 30 + RH2000 height|Sweden - 16 30
5850|SWEREF99 18 00 + RH2000 height|Sweden - 18 00
5851|SWEREF99 14 15 + RH2000 height|Sweden - 14 15
5852|SWEREF99 15 45 + RH2000 height|Sweden - 15 45
5853|SWEREF99 17 15 + RH2000 height|Sweden - 17 15
5854|SWEREF99 18 45 + RH2000 height|Sweden - 18 45
5855|SWEREF99 20 15 + RH2000 height|Sweden - 20 15
5856|SWEREF99 21 45 + RH2000 height|Sweden - 21 45
5857|SWEREF99 23 15 + RH2000 height|Sweden - 23 15
5858|SAD69(96) / UTM zone 22S|Brazil - 54°W to 48°W and SAD69
5859|[enter here name of (I = J-90°) bin grid]|[enter here applicable extent]
5861|LAT depth|World
5862|LLWLT depth|World
5863|ISLW depth|World
5864|MLLWS depth|World
5865|MLWS depth|World
5866|MLLW depth|World
5867|MLW depth|World
5868|MHW height|World
5869|MHHW height|World
5870|MHWS height|World
5871|HHWLT height|World
5872|HAT height|World
5873|Low Water depth|World
5874|High Water height|World
5875|SAD69(96) / UTM zone 18S|Brazil - west of 72°W
5876|SAD69(96) / UTM zone 19S|Brazil - 72°W to 66°W
5877|SAD69(96) / UTM zone 20S|Brazil - 66°W to 60°W
5879|Cadastre 1997 / UTM zone 38S|Mayotte - onshore
5880|SIRGAS 2000 / Brazil Polyconic|Brazil
5884|TGD2005|Tonga
5885|TGD2005|Tonga
5886|TGD2005|Tonga
5887|TGD2005 / Tonga Map Grid|Tonga
5890|JAXA Snow Depth Polar Stereographic North|World - N hemisphere - north of 60°N
5896|VN-2000 / TM-3 zone 481|Vietnam - west of 103°30&#39;E onshore
5897|VN-2000 / TM-3 zone 482|Vietnam - 103.5°E to 106.5°E onshore
5898|VN-2000 / TM-3 zone 491|Vietnam - east of 106.5°E onshore
5899|VN-2000 / TM-3 Da Nang zone|Vietnam - Da Nang
5921|WGS 84 / EPSG Arctic Regional zone A1|Arctic - 87°N to 75°N, 156°W to 66°W
5922|WGS 84 / EPSG Arctic Regional zone A2|Arctic - 87°N to 75°N, 84°W to 6°E
5923|WGS 84 / EPSG Arctic Regional zone A3|Arctic - 87°N to 75°N, 12°W to 78°E
5924|WGS 84 / EPSG Arctic Regional zone A4|Arctic - 87°N to 75°N, 60°E to 150°E
5925|WGS 84 / EPSG Arctic Regional zone A5|Arctic - 87°N to 75°N, 132°E to 138°W
5926|WGS 84 / EPSG Arctic Regional zone B1|Arctic - 79°N to 67°N, 156°W to 66°W
5927|WGS 84 / EPSG Arctic Regional zone B2|Arctic - 79°N to 67°N, 84°W to 6°E
5928|WGS 84 / EPSG Arctic Regional zone B3|Arctic - 79°N to 67°N, 12°W to 78°E
5929|WGS 84 / EPSG Arctic Regional zone B4|Arctic - 79°N to 67°N, 60°E to 150°E
5930|WGS 84 / EPSG Arctic Regional zone B5|Arctic - 79°N to 67°N, 132°E to 138°W
5931|WGS 84 / EPSG Arctic Regional zone C1|Arctic - 71°N to 59°N, 156°W to 66°W
5932|WGS 84 / EPSG Arctic Regional zone C2|Arctic - 71°N to 59°N, 84°W to 6°E
5933|WGS 84 / EPSG Arctic Regional zone C3|Arctic - 71°N to 59°N, 12°W to 78°E
5934|WGS 84 / EPSG Arctic Regional zone C4|Arctic - 71°N to 59°N, 60°E to 150°E
5935|WGS 84 / EPSG Arctic Regional zone C5|Arctic - 71°N to 59°N, 132°E to 138°W
5936|WGS 84 / EPSG Alaska Polar Stereographic|World - N hemisphere - north of 60°N
5937|WGS 84 / EPSG Canada Polar Stereographic|World - N hemisphere - north of 60°N
5938|WGS 84 / EPSG Greenland Polar Stereographic|World - N hemisphere - north of 60°N
5939|WGS 84 / EPSG Norway Polar Stereographic|World - N hemisphere - north of 60°N
5940|WGS 84 / EPSG Russia Polar Stereographic|World - N hemisphere - north of 60°N
5941|NN2000 height|Norway - onshore
5942|ETRS89 + NN2000 height|Norway - onshore
5945|ETRS89 / NTM zone 5 + NN2000 height|Norway - onshore - west of 6ºE
5946|ETRS89 / NTM zone 6 + NN2000 height|Norway - onshore - 6ºE to 7ºE
5947|ETRS89 / NTM zone 7 + NN2000 height|Norway - onshore - 7ºE to 8ºE
5948|ETRS89 / NTM zone 8 + NN2000 height|Norway - onshore - 8ºE to 9ºE
5949|ETRS89 / NTM zone 9 + NN2000 height|Norway - onshore - 9ºE to 10ºE
5950|ETRS89 / NTM zone 10 + NN2000 height|Norway - onshore - 10ºE to 11ºE
5951|ETRS89 / NTM zone 11 + NN2000 height|Norway - onshore - 11ºE to 12ºE
5952|ETRS89 / NTM zone 12 + NN2000 height|Norway - onshore - 12ºE to 13ºE
5953|ETRS89 / NTM zone 13 + NN2000 height|Norway - onshore - 13ºE to 14ºE
5954|ETRS89 / NTM zone 14 + NN2000 height|Norway - onshore - 14ºE to 15ºE
5955|ETRS89 / NTM zone 15 + NN2000 height|Norway - onshore - 15ºE to 16ºE
5956|ETRS89 / NTM zone 16 + NN2000 height|Norway - onshore - 16ºE to 17ºE
5957|ETRS89 / NTM zone 17 + NN2000 height|Norway - onshore - 17ºE to 18ºE
5958|ETRS89 / NTM zone 18 + NN2000 height|Norway - onshore - 18ºE to 19ºE
5959|ETRS89 / NTM zone 19 + NN2000 height|Norway - onshore - 19ºE to 20ºE
5960|ETRS89 / NTM zone 20 + NN2000 height|Norway - onshore - 20ºE to 21ºE
5961|ETRS89 / NTM zone 21 + NN2000 height|Norway - onshore - 21ºE to 22ºE
5962|ETRS89 / NTM zone 22 + NN2000 height|Norway - onshore - 22ºE to 23ºE
5963|ETRS89 / NTM zone 23 + NN2000 height|Norway - onshore - 23ºE to 24ºE
5964|ETRS89 / NTM zone 24 + NN2000 height|Norway - onshore - 24ºE to 25ºE
5965|ETRS89 / NTM zone 25 + NN2000 height|Norway - onshore - 25ºE to 26ºE
5966|ETRS89 / NTM zone 26 + NN2000 height|Norway - onshore - 26ºE to 27ºE
5967|ETRS89 / NTM zone 27 + NN2000 height|Norway - onshore - 27ºE to 28ºE
5968|ETRS89 / NTM zone 28 + NN2000 height|Norway - onshore - 28ºE to 29ºE
5969|ETRS89 / NTM zone 29 + NN2000 height|Norway - onshore - 29ºE to 30ºE
5970|ETRS89 / NTM zone 30 + NN2000 height|Norway - onshore - east of 30ºE
5971|ETRS89 / UTM zone 31 + NN2000 height|Norway - onshore - west of 6ºE
5972|ETRS89 / UTM zone 32 + NN2000 height|Norway - onshore - 6°E to 12°E
5973|ETRS89 / UTM zone 33 + NN2000 height|Norway - onshore - 12°E to 18°E
5974|ETRS89 / UTM zone 34 + NN2000 height|Norway - onshore - 18°E to 24°E
5975|ETRS89 / UTM zone 35 + NN2000 height|Norway - onshore - 24°E to 30°E
5976|ETRS89 / UTM zone 36 + NN2000 height|Norway - onshore - east of 30ºE
6050|GR96 / EPSG Arctic zone 1-25|Arctic - 87°50&#39;N to 82°50&#39;N, 60°W to 0°E
6051|GR96 / EPSG Arctic zone 2-18|Arctic - 84°30&#39;N to 79°30&#39;N, 72°W to 32°W
6052|GR96 / EPSG Arctic zone 2-20|Arctic - 84°30&#39;N to 79°30&#39;N, 32°W to 8°E
6053|GR96 / EPSG Arctic zone 3-29|Arctic - 81°10&#39;N to 76°10&#39;N, Greenland west of 54°W
6054|GR96 / EPSG Arctic zone 3-31|Arctic - 81°10&#39;N to 76°10&#39;N, 54°W to 24°W
6055|GR96 / EPSG Arctic zone 3-33|Arctic - 81°10&#39;N to 76°10&#39;N, 24°W to 3°E
6056|GR96 / EPSG Arctic zone 4-20|Arctic - 77°50&#39;N to 72°50&#39;N, 76°W to 51°W
6057|GR96 / EPSG Arctic zone 4-22|Arctic - 77°50&#39;N to 72°50&#39;N, 51°W to 26°W
6058|GR96 / EPSG Arctic zone 4-24|Arctic - 77°50&#39;N to 72°50&#39;N, 26°W to 2°W
6059|GR96 / EPSG Arctic zone 5-41|Arctic - 74°30&#39;N to 69°30&#39;N, 72°W to 52°W
6060|GR96 / EPSG Arctic zone 5-43|Arctic - 74°30&#39;N to 69°30&#39;N, 52°W to 32°W
6061|GR96 / EPSG Arctic zone 5-45|Arctic - 74°30&#39;N to 69°30&#39;N, 32°W to 12°W
6062|GR96 / EPSG Arctic zone 6-26|Arctic - 71°10&#39;N to 66°10&#39;N, 65°W to 47°W
6063|GR96 / EPSG Arctic zone 6-28|Arctic - 71°10&#39;N to 66°10&#39;N, 47°W to 29°W
6064|GR96 / EPSG Arctic zone 6-30|Arctic - 71°10&#39;N to 66°10&#39;N, 29°W to 11°W
6065|GR96 / EPSG Arctic zone 7-11|Arctic - 67°50&#39;N to 62°50&#39;N, 59°W to 42°W
6066|GR96 / EPSG Arctic zone 7-13|Arctic - 67°50&#39;N to 62°50&#39;N, 42°W to 25°W
6067|GR96 / EPSG Arctic zone 8-20|Arctic - 64°30&#39;N to 59°30&#39;N, 59°W to 44°W
6068|GR96 / EPSG Arctic zone 8-22|Arctic - 64°30&#39;N to 59°30&#39;N, 44°W to 29°W
6069|ETRS89 / EPSG Arctic zone 2-22|Arctic - 84°30&#39;N to 79°30&#39;N, 4°W to 36°E
6070|ETRS89 / EPSG Arctic zone 3-11|Arctic - 81°10&#39;N to 76°10&#39;N, 4°W to 38°E
6071|ETRS89 / EPSG Arctic zone 4-26|Arctic - 77°50&#39;N to 72°50&#39;N, 2°W to 22°E
6072|ETRS89 / EPSG Arctic zone 4-28|Arctic - 77°50&#39;N to 72°50&#39;N, 22°E to 46°E
6073|ETRS89 / EPSG Arctic zone 5-11|Arctic - 74°30&#39;N to 69°30&#39;N, 4°E to 24°E
6074|ETRS89 / EPSG Arctic zone 5-13|Arctic - 74°30&#39;N to 69°30&#39;N, 24°E to 44°E
6075|WGS 84 / EPSG Arctic zone 2-24|Arctic - 84°30&#39;N to 79°30&#39;N, 33°E to 73°E
6076|WGS 84 / EPSG Arctic zone 2-26|Arctic - 84°30&#39;N to 79°30&#39;N, 73°E to 113°E
6077|WGS 84 / EPSG Arctic zone 3-13|Arctic - 81°10&#39;N to 76°10&#39;N, 35°E to 67°E
6078|WGS 84 / EPSG Arctic zone 3-15|Arctic - 81°10&#39;N to 76°10&#39;N, 67°E to 98°E
6079|WGS 84 / EPSG Arctic zone 3-17|Arctic - 81°10&#39;N to 76°10&#39;N, 98°E to 129°E
6080|WGS 84 / EPSG Arctic zone 3-19|Arctic - 81°10&#39;N to 76°10&#39;N, 129°E to 160°E
6081|WGS 84 / EPSG Arctic zone 4-30|Arctic - 77°50&#39;N to 72°50&#39;N, 46°E to 70°E
6082|WGS 84 / EPSG Arctic zone 4-32|Arctic - 77°50&#39;N to 72°50&#39;N, 70°E to 94°E
6083|WGS 84 / EPSG Arctic zone 4-34|Arctic - 77°50&#39;N to 72°50&#39;N, 94°E to 118°E
6084|WGS 84 / EPSG Arctic zone 4-36|Arctic - 77°50&#39;N to 72°50&#39;N, 118°E to 142°E
6085|WGS 84 / EPSG Arctic zone 4-38|Arctic - 77°50&#39;N to 72°50&#39;N, 142°E to 166°E
6086|WGS 84 / EPSG Arctic zone 4-40|Arctic - 77°50&#39;N to 72°50&#39;N, 166°E to 169°W
6087|WGS 84 / EPSG Arctic zone 5-15|Arctic - 74°30&#39;N to 69°30&#39;N, 44°E to 64°E
6088|WGS 84 / EPSG Arctic zone 5-17|Arctic - 74°30&#39;N to 69°30&#39;N, 64°E to 85°E
6089|WGS 84 / EPSG Arctic zone 5-19|Arctic - 74°30&#39;N to 69°30&#39;N, 85°E to 106°E
6090|WGS 84 / EPSG Arctic zone 5-21|Arctic - 74°30&#39;N to 69°30&#39;N, 106°E to 127°E
6091|WGS 84 / EPSG Arctic zone 5-23|Arctic - 74°30&#39;N to 69°30&#39;N, 127°E to 148°E
6092|WGS 84 / EPSG Arctic zone 5-25|Arctic - 74°30&#39;N to 69°30&#39;N, 148°E to 169°E
6093|WGS 84 / EPSG Arctic zone 5-27|Arctic - 74°30&#39;N to 69°30&#39;N, 169°E to 169°W
6094|NAD83(NSRS2007) / EPSG Arctic zone 5-29|Arctic - 74°30&#39;N to 69°30&#39;N, 173°W to 153°W
6095|NAD83(NSRS2007) / EPSG Arctic zone 5-31|Arctic - 74°30&#39;N to 69°30&#39;N, 157°W to 137°W
6096|NAD83(NSRS2007) / EPSG Arctic zone 6-14|Arctic - 71°10&#39;N to 66°10&#39;N, 174°W to 156°W
6097|NAD83(NSRS2007) / EPSG Arctic zone 6-16|Arctic - 71°10&#39;N to 66°10&#39;N, 156°W to 138°W
6098|NAD83(CSRS) / EPSG Arctic zone 1-23|Arctic - 87°50&#39;N to 82°50&#39;N, 120°W to 60°W
6099|NAD83(CSRS) / EPSG Arctic zone 2-14|Arctic - 84°30&#39;N to 79°30&#39;N, 135°W to 95°W
6100|NAD83(CSRS) / EPSG Arctic zone 2-16|Arctic - 84°30&#39;N to 79°30&#39;N, 95°W to 55°W
6101|NAD83(CSRS) / EPSG Arctic zone 3-25|Arctic - 81°10&#39;N to 76°10&#39;N, 144°W to 114°W
6102|NAD83(CSRS) / EPSG Arctic zone 3-27|Arctic - 81°10&#39;N to 76°10&#39;N, 114°W to 84°W
6103|NAD83(CSRS) / EPSG Arctic zone 3-29|Arctic - 81°10&#39;N to 76°10&#39;N, Canada east of 84°W
6104|NAD83(CSRS) / EPSG Arctic zone 4-14|Arctic - 77°50&#39;N to 72°50&#39;N, 141°W to 116°W
6105|NAD83(CSRS) / EPSG Arctic zone 4-16|Arctic - 77°50&#39;N to 72°50&#39;N, 116°W to 91°W
6106|NAD83(CSRS) / EPSG Arctic zone 4-18|Arctic - 77°50&#39;N to 72°50&#39;N, 91°W to 67°W
6107|NAD83(CSRS) / EPSG Arctic zone 5-33|Arctic - 74°30&#39;N to 69°30&#39;N, 141°W to 121°W
6108|NAD83(CSRS) / EPSG Arctic zone 5-35|Arctic - 74°30&#39;N to 69°30&#39;N, 121°W to 101°W
6109|NAD83(CSRS) / EPSG Arctic zone 5-37|Arctic - 74°30&#39;N to 69°30&#39;N, 101°W to 81°W
6110|NAD83(CSRS) / EPSG Arctic zone 5-39|Arctic - 74°30&#39;N to 69°30&#39;N, 81°W to 61°W
6111|NAD83(CSRS) / EPSG Arctic zone 6-18|Arctic - 71°10&#39;N to 66°10&#39;N, 141°W to 122°W
6112|NAD83(CSRS) / EPSG Arctic zone 6-20|Arctic - 71°10&#39;N to 66°10&#39;N, 122°W to 103°W
6113|NAD83(CSRS) / EPSG Arctic zone 6-22|Arctic - 71°10&#39;N to 66°10&#39;N, 103°W to 84°W
6114|NAD83(CSRS) / EPSG Arctic zone 6-24|Arctic - 71°10&#39;N to 66°10&#39;N, 84°W to 65°W
6115|WGS 84 / EPSG Arctic zone 1-27|Arctic - 87°50&#39;N to 82°50&#39;N, 0°E to 60°E
6116|WGS 84 / EPSG Arctic zone 1-29|Arctic - 87°50&#39;N to 82°50&#39;N, 60°E to 120°E
6117|WGS 84 / EPSG Arctic zone 1-31|Arctic - 87°50&#39;N to 82°50&#39;N, 120°E to 180°E
6118|WGS 84 / EPSG Arctic zone 1-21|Arctic - 87°50&#39;N to 82°50&#39;N, 180°W to 120°W
6119|WGS 84 / EPSG Arctic zone 2-28|Arctic - 84°30&#39;N to 79°30&#39;N, 113°E to 153°E
6120|WGS 84 / EPSG Arctic zone 2-10|Arctic - 84°30&#39;N to 79°30&#39;N, 146°E to 174°W
6121|WGS 84 / EPSG Arctic zone 2-12|Arctic - 84°30&#39;N to 79°30&#39;N, 174°W to 135°W
6122|WGS 84 / EPSG Arctic zone 3-21|Arctic - 81°10&#39;N to 76°10&#39;N, 160°E to 169°W
6123|WGS 84 / EPSG Arctic zone 3-23|Arctic - 81°10&#39;N to 76°10&#39;N, 169°W to 138°W
6124|WGS 84 / EPSG Arctic zone 4-12|Arctic - 77°50&#39;N to 72°50&#39;N, 169°W to 141°W
6125|ETRS89 / EPSG Arctic zone 5-47|Arctic - 74°30&#39;N to 69°30&#39;N, 15°W to 5°E
6128|Grand Cayman National Grid 1959|Cayman Islands - Grand Cayman
6129|Sister Islands National Grid 1961|Cayman Islands - Little Cayman and Cayman Brac
6130|GCVD54 height (ft)|Cayman Islands - Grand Cayman
6131|LCVD61 height (ft)|Cayman Islands - Little Cayman
6132|CBVD61 height (ft)|Cayman Islands - Cayman Brac
6133|CIGD11|Cayman Islands
6134|CIGD11|Cayman Islands
6135|CIGD11|Cayman Islands
6141|Cayman Islands National Grid 2011|Cayman Islands
6144|ETRS89 + NN54 height|Norway - onshore
6145|ETRS89 / NTM zone 5 + NN54 height|Norway - onshore - west of 6ºE
6146|ETRS89 / NTM zone 6 + NN54 height|Norway - onshore - 6ºE to 7ºE
6147|ETRS89 / NTM zone 7 + NN54 height|Norway - onshore - 7ºE to 8ºE
6148|ETRS89 / NTM zone 8 + NN54 height|Norway - onshore - 8ºE to 9ºE
6149|ETRS89 / NTM zone 9 + NN54 height|Norway - onshore - 9ºE to 10ºE
6150|ETRS89 / NTM zone 10 + NN54 height|Norway - onshore - 10ºE to 11ºE
6151|ETRS89 / NTM zone 11 + NN54 height|Norway - onshore - 11ºE to 12ºE
6152|ETRS89 / NTM zone 12 + NN54 height|Norway - onshore - 12ºE to 13ºE
6153|ETRS89 / NTM zone 13 + NN54 height|Norway - onshore - 13ºE to 14ºE
6154|ETRS89 / NTM zone 14 + NN54 height|Norway - onshore - 14ºE to 15ºE
6155|ETRS89 / NTM zone 15 + NN54 height|Norway - onshore - 15ºE to 16ºE
6156|ETRS89 / NTM zone 16 + NN54 height|Norway - onshore - 16ºE to 17ºE
6157|ETRS89 / NTM zone 17 + NN54 height|Norway - onshore - 17ºE to 18ºE
6158|ETRS89 / NTM zone 18 + NN54 height|Norway - onshore - 18ºE to 19ºE
6159|ETRS89 / NTM zone 19 + NN54 height|Norway - onshore - 19ºE to 20ºE
6160|ETRS89 / NTM zone 20 + NN54 height|Norway - onshore - 20ºE to 21ºE
6161|ETRS89 / NTM zone 21 + NN54 height|Norway - onshore - 21ºE to 22ºE
6162|ETRS89 / NTM zone 22 + NN54 height|Norway - onshore - 22ºE to 23ºE
6163|ETRS89 / NTM zone 23 + NN54 height|Norway - onshore - 23ºE to 24ºE
6164|ETRS89 / NTM zone 24 + NN54 height|Norway - onshore - 24ºE to 25ºE
6165|ETRS89 / NTM zone 25 + NN54 height|Norway - onshore - 25ºE to 26ºE
6166|ETRS89 / NTM zone 26 + NN54 height|Norway - onshore - 26ºE to 27ºE
6167|ETRS89 / NTM zone 27 + NN54 height|Norway - onshore - 27ºE to 28ºE
6168|ETRS89 / NTM zone 28 + NN54 height|Norway - onshore - 28ºE to 29ºE
6169|ETRS89 / NTM zone 29 + NN54 height|Norway - onshore - 29ºE to 30ºE
6170|ETRS89 / NTM zone 30 + NN54 height|Norway - onshore - east of 30ºE
6171|ETRS89 / UTM zone 31 + NN54 height|Norway - onshore - west of 6ºE
6172|ETRS89 / UTM zone 32 + NN54 height|Norway - onshore - 6°E to 12°E
6173|ETRS89 / UTM zone 33 + NN54 height|Norway - onshore - 12°E to 18°E
6174|ETRS89 / UTM zone 34 + NN54 height|Norway - onshore - 18°E to 24°E
6175|ETRS89 / UTM zone 35 + NN54 height|Norway - onshore - 24°E to 30°E
6176|ETRS89 / UTM zone 36 + NN54 height|Norway - onshore - east of 30ºE
6178|Cais da Pontinha - Funchal height|Portugal - Madeira and Desertas islands onshore
6179|Cais da Vila - Porto Santo height|Portugal - Porto Santo island onshore
6180|Cais das Velas height|Portugal - Azores C - S Jorge onshore
6181|Horta height|Portugal - Azores C - Faial onshore
6182|Cais da Madalena height|Portugal - Azores C - Pico onshore
6183|Santa Cruz da Graciosa height|Portugal - Azores C - Graciosa onshore
6184|Cais da Figueirinha - Angra do Heroismo height|Portugal - Azores C - Terceira onshore
6185|Santa Cruz das Flores height|Portugal - Azores W - onshore
6186|Cais da Vila do Porto height|Portugal - Azores E onshore - Santa Maria and Formigas
6187|Ponta Delgada height|Portugal - Azores E - S Miguel onshore
6190|Belge 1972 / Belgian Lambert 72 + Ostend height|Belgium - onshore
6200|NAD27 / Michigan North|USA - Michigan - SPCS - N
6201|NAD27 / Michigan Central|USA - Michigan - SPCS - C
6202|NAD27 / Michigan South|USA - Michigan - SPCS - S
6204|Macedonia State Coordinate System|Macedonia
6207|Nepal 1981|Nepal
6210|SIRGAS 2000 / UTM zone 23N|Brazil - 48°W to 42°W and north of 0°N
6211|SIRGAS 2000 / UTM zone 24N|Brazil - 42°W to 36°W and north of 0°N
6244|MAGNA-SIRGAS / Arauca urban grid|Colombia - Arauca city
6245|MAGNA-SIRGAS / Armenia urban grid|Colombia - Armenia city
6246|MAGNA-SIRGAS / Barranquilla urban grid|Colombia - Barranquilla city
6247|MAGNA-SIRGAS / Bogota urban grid|Colombia - Bogota city
6248|MAGNA-SIRGAS / Bucaramanga urban grid|Colombia - Bucaramanga city
6249|MAGNA-SIRGAS / Cali urban grid|Colombia - Cali city
6250|MAGNA-SIRGAS / Cartagena urban grid|Colombia - Cartagena city
6251|MAGNA-SIRGAS / Cucuta urban grid|Colombia - Cucuta city
6252|MAGNA-SIRGAS / Florencia urban grid|Colombia - Florencia city
6253|MAGNA-SIRGAS / Ibague urban grid|Colombia - Ibague city
6254|MAGNA-SIRGAS / Inirida urban grid|Colombia - Inirida city
6255|MAGNA-SIRGAS / Leticia urban grid|Colombia - Leticia city
6256|MAGNA-SIRGAS / Manizales urban grid|Colombia - Manizales city
6257|MAGNA-SIRGAS / Medellin urban grid|Colombia - Medellin city
6258|MAGNA-SIRGAS / Mitu urban grid|Colombia - Mitu city
6259|MAGNA-SIRGAS / Mocoa urban grid|Colombia - Mocoa city
6260|MAGNA-SIRGAS / Monteria urban grid|Colombia - Monteria city
6261|MAGNA-SIRGAS / Neiva urban grid|Colombia - Neiva city
6262|MAGNA-SIRGAS / Pasto urban grid|Colombia - Pasto city
6263|MAGNA-SIRGAS / Pereira urban grid|Colombia - Pereira city
6264|MAGNA-SIRGAS / Popayan urban grid|Colombia - Popayan city
6265|MAGNA-SIRGAS / Puerto Carreno urban grid|Colombia - Puerto Carreno city
6266|MAGNA-SIRGAS / Quibdo urban grid|Colombia - Quibdo city
6267|MAGNA-SIRGAS / Riohacha urban grid|Colombia - Riohacha city
6268|MAGNA-SIRGAS / San Andres urban grid|Colombia - San Andres city
6269|MAGNA-SIRGAS / San Jose del Guaviare urban grid|Colombia - San Jose del Guaviare city
6270|MAGNA-SIRGAS / Santa Marta urban grid|Colombia - Santa Marta city
6271|MAGNA-SIRGAS / Sucre urban grid|Colombia - Sucre city
6272|MAGNA-SIRGAS / Tunja urban grid|Colombia - Tunja city
6273|MAGNA-SIRGAS / Valledupar urban grid|Colombia - Valledupar city
6274|MAGNA-SIRGAS / Villavicencio urban grid|Colombia - Villavicencio city
6275|MAGNA-SIRGAS / Yopal urban grid|Colombia - Yopal city
6307|NAD83(CORS96) / Puerto Rico and Virgin Is.|Caribbean - Puerto Rico and US Virgin Islands - onshore
6309|CGRS93|Cyprus - onshore
6310|CGRS93|Cyprus - onshore
6311|CGRS93|Cyprus - onshore
6312|CGRS93 / Cyprus Local Transverse Mercator|Cyprus - onshore
6316|MGI 1901 / Balkans zone 7|Europe - former Yugoslavia onshore 19.5°E to 22.5°E
6317|NAD83(2011)|USA - CONUS and Alaska; PRVI
6318|NAD83(2011)|USA - CONUS and Alaska; PRVI
6319|NAD83(2011)|USA - CONUS and Alaska; PRVI
6320|NAD83(PA11)|Pacific - US interests Pacific plate
6321|NAD83(PA11)|Pacific - US interests Pacific plate
6322|NAD83(PA11)|Pacific - US interests Pacific plate
6323|NAD83(MA11)|Pacific - US interests Mariana plate
6324|NAD83(MA11)|Pacific - US interests Mariana plate
6325|NAD83(MA11)|Pacific - US interests Mariana plate
6328|NAD83(2011) / UTM zone 59N|USA - west of 174°E - AK, OCS
6329|NAD83(2011) / UTM zone 60N|USA - 174°E to 180°E - AK, OCS
6330|NAD83(2011) / UTM zone 1N|USA - 180°W to 174°W - AK, OCS
6331|NAD83(2011) / UTM zone 2N|USA - 174°W to 168°W - AK, OCS
6332|NAD83(2011) / UTM zone 3N|USA - 168°W to 162°W - AK, OCS
6333|NAD83(2011) / UTM zone 4N|USA - 162°W to 156°W - AK, OCS
6334|NAD83(2011) / UTM zone 5N|USA - 156°W to 150°W - AK, OCS
6335|NAD83(2011) / UTM zone 6N|USA - 150°W to 144°W - AK, OCS
6336|NAD83(2011) / UTM zone 7N|USA - 144°W to 138°W
6337|NAD83(2011) / UTM zone 8N|USA - 138°W to 132°W
6338|NAD83(2011) / UTM zone 9N|USA - 132°W to 126°W
6339|NAD83(2011) / UTM zone 10N|USA - 126°W to 120°W
6340|NAD83(2011) / UTM zone 11N|USA - 120°W to 114°W
6341|NAD83(2011) / UTM zone 12N|USA - 114°W to 108°W
6342|NAD83(2011) / UTM zone 13N|USA - 108°W to 102°W
6343|NAD83(2011) / UTM zone 14N|USA - 102°W to 96°W
6344|NAD83(2011) / UTM zone 15N|USA - 96°W to 90°W
6345|NAD83(2011) / UTM zone 16N|USA - 90°W to 84°W
6346|NAD83(2011) / UTM zone 17N|USA - 84°W to 78°W
6347|NAD83(2011) / UTM zone 18N|USA - 78°W to 72°W
6348|NAD83(2011) / UTM zone 19N|USA - 72°W to 66°W
6349|NAD83(2011) + NAVD88 height|USA - CONUS and Alaska - onshore
6350|NAD83(2011) / Conus Albers|USA - CONUS - onshore
